allocator,allocator_label,offset,date,realised_beta_252d
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-08-31,0.14753921976046536
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-01,0.1446284415205797
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-05,0.14610673138119268
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-06,0.1463842952749479
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-07,0.14715711434735992
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-08,0.1479191139549471
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-11,0.14784476683516806
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-12,0.14736334650264446
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-13,0.14771734061258607
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-14,0.1478571036118133
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-15,0.1459792170247388
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-18,0.14399692676116543
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-19,0.1427740556143861
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-20,0.14297384532512494
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-21,0.14171083430632297
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-22,0.14246297880563685
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-25,0.14273061720871313
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-26,0.14153069122228618
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-27,0.14154799880006544
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-28,0.13850143342191487
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-09-29,0.1383848932986846
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-02,0.1356581253558132
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-03,0.13712340402913448
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-04,0.13608616321953304
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-05,0.13646562554157213
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-06,0.1326980155546241
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-09,0.13243365212970015
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-10,0.13466375878798256
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-11,0.13520956586512595
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-12,0.13233942977976215
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-13,0.12872820188759015
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-16,0.12855293761139644
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-17,0.12789090958400054
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-18,0.1252733772886936
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-19,0.12010065205119225
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-20,0.11836061403266021
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-23,0.11826475252964103
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-24,0.11836047002219582
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-25,0.12104502242868005
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-26,0.1197212095308868
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-27,0.11655321931672016
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-30,0.11522664181072885
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-10-31,0.11450778542544472
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-01,0.11492482516765552
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-02,0.11428607116726025
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-03,0.11482463304039495
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-06,0.11473839897916538
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-07,0.1156691221207244
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-08,0.11381505486907893
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-09,0.11260393200367642
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-10,0.11092940205282749
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-13,0.11351510492720399
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-14,0.11898592550682618
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-15,0.11931366832935382
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-16,0.12038211264806507
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-17,0.12018351914099086
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-20,0.12104743850279889
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-21,0.12210771687159143
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-22,0.12180747119139473
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-24,0.12237009521447993
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-27,0.12298977623207777
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-28,0.1237351590575318
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-29,0.12312337212994447
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-11-30,0.1230075277479364
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-12-01,0.12224425369511246
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-12-04,0.12142083950000172
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-12-05,0.12215727611521057
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-12-06,0.12065217014120226
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-12-07,0.12076444407071886
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-12-08,0.12074812541461985
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-12-11,0.12219706178285773
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-12-12,0.12304458928125901
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-12-13,0.121955019692652
